libvncserver 0.9.14-2
libvorbis 1.3.7-3
libvpx 1.13.1-1
libvterm 0.3.3-1
libwacom 2.8.0-1
libwbclient 4.19.1-1
libwebp 1.3.2-1
libwireplumber 0.4.14-1
libwnck3 43.0-3
libwpe 1.14.1-2
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.11.5-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
libzip 1.10.1-1
licenses 20230917-1
light-git 1.2.2.r6.gd717f1c-1
lilv 0.24.20-2
linux 6.5.6.arch2-1
linux-api-headers 6.4-1
linux-firmware 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
lirc 1:0.10.2-3
live-media 2023.01.19-1
llvm-libs 16.0.6-1
llvm15-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lsb-release 2.0.r53.a86f885-1
lsd 1.0.0-1
lsof 4.98.0-2
lua 5.4.6-2
lua51 5.1.5-11
lua52 5.2.4-6
lua53 5.3.6-2
luajit 2.1.1696795921-1
lv2 1.18.10-1
lvm2 2.03.22-2
lxappearance 0.6.3-4
lxmenu-data 0.1.5-3
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
mailutils 3.16-1
maim 5.7.4-6
make 4.4.1-2
malcontent 0.11.1-2
man-db 2.12.0-1
mariadb 11.1.2-1
mariadb-clients 11.1.2-1
mariadb-libs 11.1.2-1
mbedtls 3.4.1-1
mcpp 2.7.2-8
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
menu-cache 1.1.0-4
mesa 1:23.2.1-2
mesa-utils 9.0.0-3
meson 1.2.2-2
microsoft-edge-stable-bin 117.0.2045.55-1
mimalloc 2.1.2-1
mingw-w64-binutils 2.38-3
mingw-w64-crt 10.0.0-1
mingw-w64-gcc 12.2.0-1
mingw-w64-headers 10.0.0-1
mingw-w64-winpthreads 10.0.0-1
minizip 1:1.3-1
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mod_dnssd 0.6-9
mold 2.2.0-1
mongo-c-driver 1.24.4-1
mongodb-bin 7.0.2-1
mongosh-bin 2.0.1-2
most 5.2.0-1
mpfr 4.2.1-1
mpg123 1.32.2-1
mpv 1:0.36.0-1
mpvpaper 1.3-3
msgpack-c 5.0.0-1
msodbcsql 18.3.1.1-1
mssql-server 16.0.4065.3-1
mssql-tools 18.0.1.1-1
mtdev 1.1.6-2
mujs 1.3.3-1
multipath-tools 0.9.6-1
mumble 1.5.517-4
mumble-server 1.5.517-4
muparser 2.3.4-1
mutter 45.0-1
mysql-workbench 8.0.34-2
nano 7.2-1
nautilus 45.0-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neofetch 7.1.0-2
neon 0.32.5-2
neovim 0.9.4-2
nerd-fonts-jetbrains-mono-160 2.1.0-1
net-snmp 5.9.1-8
net-tools 2.10-2
netbeans 16-1
netstandard-targeting-pack 7.0.11.sdk111-1
nettle 3.9.1-1
networkmanager 1.44.2-1
nfsidmap 2.6.3-1
ninja 1.11.1-3
nm-connection-editor 1.34.0-1
nmap 7.94-2
node-gyp 9.4.0-1
nodejs 20.8.0-1
nodejs-nopt 7.2.0-1
notion 1:4.0.2-4
noto-fonts-cjk 20230817-1
noto-fonts-emoji 20220920-1
npm 10.2.0-1
npth 1.6-4
nspr 4.35-1
nss 3.94-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvm 0.39.5-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
onetbb 2021.10.0-1
onevpl 2023.3.1-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.5p1-1
openssl 3.1.3-1
openssl-1.1 1.1.1.w-1
openvpn 2.6.6-1
opus 1.4-1
orc 0.4.34-1
orca 45.1-1
os-prober 1.81-1
osinfo-db 20230518-1
ostree 2023.6-3
p11-kit 0.25.0-2
p7zip 1:17.05-1
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pam 1.5.3-3
pambase 20230918-1
pamixer 1.6-2
pango 1:1.51.1-1
pangomm 2.46.3-1
papirus-icon-theme 20230901-1
parallel 20230922-1
parted 3.6-1
paru-bin 1.11.2-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-listing 6.16-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookiejar 0.014-1
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.45-1
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-libwww 6.72-1
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
perl-net-http 6.23-2
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.21-1
perl-www-robotrules 6.02-12
phodav 3.0-2
php 8.2.11-1
php-apache 8.2.11-1
php-fpm 8.2.11-1
picom 10.2-1
pinentry 1.2.1-3
pipes.sh 1.3.0-1
pipewire 1:0.3.81-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
plank 0.11.89-4
playerctl 2.4.1-3
plocate 1.1.19-1
plymouth 22.02.122-7
plymouth-theme-arch-darwin 1.0-1
poco 1.12.4-1
polkit 123-1
polkit-qt5 0.114.0-2
poppler 23.10.0-1
poppler-data 0.4.12-1
poppler-glib 23.10.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql 15.4-2
postgresql-libs 15.4-2
potrace 1.16-2
procps-ng 4.0.4-2
proj 9.3.0-1
projectm 3.1.12-4
protobuf 24.3-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
python 3.11.5-2
python-annotated-types 0.5.0-1
python-argcomplete 2.0.0-2
python-arrow 1.3.0-1
python-atspi 2.46.0-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-beautifulsoup4 4.12.2-1
python-blinker 1.6.2-1
python-build 1.0.3-1
python-cairo 1.24.0-1
python-certifi 2023.07.22-1
python-cffi 1.15.1-4
python-chardet 5.2.0-1
python-click 8.1.7-1
python-colorama 0.4.6-2
python-convertdate 2.4.0-1
python-cryptography 41.0.4-1
python-dateutil 2.8.2-5
python-decorator 5.1.1-3
